Query_label	Target_label	ID	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function
epsJ	Aved_18-Q3-R54-62_BAT3C.309_00786	Aved_18-Q3-R54-62_BAT3C.309	786	34.568	81	50	2	3	82	4	82	2.23e-25	103	tig00006828-10-300550	6088	6387	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.309_00788	Aved_18-Q3-R54-62_BAT3C.309	788	25.352	213	131	5	4	193	27	234	9.07e-34	130	tig00006828-10-300550	7559	8338	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.309_00931	Aved_18-Q3-R54-62_BAT3C.309	931	27.315	216	146	6	3	216	4	210	8.56e-53	183	tig00373134-10-19807410	117342	118478	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.309_00933	Aved_18-Q3-R54-62_BAT3C.309	933	27.152	302	201	8	2	300	12	297	2.77e-69	224	tig00373134-10-19807410	119764	120735	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.309_02347	Aved_18-Q3-R54-62_BAT3C.309	2347	22.581	217	156	6	17	231	11	217	1.47e-33	130	tig00373134-10-19807410	1678616	1679425	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.309_03005	Aved_18-Q3-R54-62_BAT3C.309	3005	25.63	238	172	3	2	238	385	618	6.99e-45	168	tig00379145-10-13942480	364367	366337	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.309_04114	Aved_18-Q3-R54-62_BAT3C.309	4114	21.397	229	158	10	3	211	583	809	1.51e-26	116	tig01608090-10-7225250	165728	169360	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY
epsH	Aved_18-Q3-R54-62_BAT3C.394_00903	Aved_18-Q3-R54-62_BAT3C.394	903	24.107	224	139	6	4	217	11	213	1.68e-26	112	tig00006722-10-5174190	417417	418331	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.394_01325	Aved_18-Q3-R54-62_BAT3C.394	1325	23.704	270	184	6	3	265	101	355	4.78e-47	170	tig00009713-10-1225350	71602	72969	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.394_03732	Aved_18-Q3-R54-62_BAT3C.394	3732	22.984	248	170	10	5	247	23	254	6.68e-37	138	tig01608118-10-14295950	293544	294314	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.394_03733	Aved_18-Q3-R54-62_BAT3C.394	3733	25.837	209	141	6	4	210	2	198	9.17e-42	151	tig01608118-10-14295950	294311	295060	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.448_01376	Aved_18-Q3-R54-62_BAT3C.448	1376	24.419	172	120	4	6	168	15	185	7.64e-29	117	tig00015076-10-2199460	115334	116089	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY
epsH	Aved_18-Q3-R54-62_BAT3C.448_02775	Aved_18-Q3-R54-62_BAT3C.448	2775	27.731	238	160	5	5	240	12	239	2.79e-44	161	tig00020836-10-1427180	33094	34224	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.448_02779	Aved_18-Q3-R54-62_BAT3C.448	2779	23.81	210	145	5	3	211	6	201	5.6e-34	132	tig00020836-10-1427180	36735	37715	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.448_03972	Aved_18-Q3-R54-62_BAT3C.448	3972	20.076	264	183	7	5	264	10	249	1.17e-15	82.1	tig00033305-10-902730	40201	41103	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.518_00686	Aved_18-Q3-R54-62_BAT3C.518	686	21.008	238	171	8	2	236	4	227	3.77e-46	162	tig00004048-10-7431970	586501	587271	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.518_01588	Aved_18-Q3-R54-62_BAT3C.518	1588	20.238	252	180	6	3	246	5	243	5.08e-40	149	tig00017107-10-2204060	97005	98012	+	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsH	Aved_18-Q3-R54-62_BAT3C.518_01825	Aved_18-Q3-R54-62_BAT3C.518	1825	23.333	240	166	6	7	242	4	229	8.88e-29	118	tig00017130-10-1885120	124589	125536	+	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.518_01837	Aved_18-Q3-R54-62_BAT3C.518	1837	22.685	216	149	6	2	215	1	200	1.91e-48	170	tig00017130-10-1885120	136509	137453	+	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsH	Aved_18-Q3-R54-62_BAT3C.518_03382	Aved_18-Q3-R54-62_BAT3C.518	3382	21.397	229	164	4	1	220	1	222	1.16e-39	148	tig00374057-10-8991090	803368	804366	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.518_03383	Aved_18-Q3-R54-62_BAT3C.518	3383	29.752	242	156	7	2	233	1	238	9.56e-65	211	tig00374057-10-8991090	804416	805279	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.518_03384	Aved_18-Q3-R54-62_BAT3C.518	3384	20.415	289	194	8	4	283	17	278	3.23e-39	146	tig00374057-10-8991090	805341	806330	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsH	Aved_18-Q3-R54-62_BAT3C.518_03389	Aved_18-Q3-R54-62_BAT3C.518	3389	20.308	325	232	10	3	310	23	337	6.57e-26	111	tig00374057-10-8991090	812515	813579	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.540_02592	Aved_18-Q3-R54-62_BAT3C.540	2592	21.661	277	177	8	3	245	13	283	1.01e-48	172	tig00000023-10-69002250	3101378	3102484	+	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	SY
epsH	Aved_18-Q3-R54-62_BAT3C.540_05250	Aved_18-Q3-R54-62_BAT3C.540	5250	21.788	179	127	4	8	176	11	186	3.15e-26	111	tig00000023-10-69002250	6445433	6446359	+	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.540_06184	Aved_18-Q3-R54-62_BAT3C.540	6184	22.667	225	154	6	3	219	48	260	4.18e-35	137	tig00000449-10-28489590	644992	646173	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.633_01210	Aved_18-Q3-R54-62_BAT3C.633	1210	22.843	197	132	5	4	184	146	338	6.86e-22	101	tig00014682-10-2749010	197208	198392	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.633_01441	Aved_18-Q3-R54-62_BAT3C.633	1441	25.738	237	156	10	3	234	6	227	1.08e-40	153	tig00015176-10-2939640	151049	152446	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.633_02425	Aved_18-Q3-R54-62_BAT3C.633	2425	20.874	206	143	5	5	201	25	219	1.8e-27	114	tig00021046-10-2224910	183962	184762	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.633_02483	Aved_18-Q3-R54-62_BAT3C.633	2483	25.532	188	129	6	1	185	1	180	3.44e-43	154	tig00023429-10-1509720	27697	28428	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.633_02679	Aved_18-Q3-R54-62_BAT3C.633	2679	23.005	213	154	6	3	212	4	209	1.69e-38	145	tig00023604-10-1139210	84150	85229	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	SY
